bowler,sum(is_wicket)
SL Malinga,188
DJ Bravo,175
A Mishra,169
PP Chawla,164
Harbhajan Singh,161
R Ashwin,153
B Kumar,146
SP Narine,143
UT Yadav,137
R Vinay Kumar,127
YS Chahal,124
RA Jadeja,122
A Nehra,121
Z Khan,119
JJ Bumrah,119
Sandeep Sharma,117
SR Watson,107
DW Steyn,105
P Kumar,102
RP Singh,100
MM Sharma,100
IK Pathan,99
PP Ojha,99
JA Morkel,96
DS Kulkarni,91
M Morkel,88
JD Unadkat,88
CH Morris,88
AR Patel,87
L Balaji,85
Imran Tahir,83
AB Dinda,82
MM Patel,82
R Bhatia,82
Rashid Khan,80
MJ McClenaghan,75
JH Kallis,74
Mohammed Shami,74
I Sharma,73
SK Trivedi,73
JP Faulkner,72
KA Pollard,71
AD Russell,67
TA Boult,67
M Muralitharan,66
Shakib Al Hasan,66
K Rabada,66
MG Johnson,64
KV Sharma,64
SK Warne,60
S Kaul,55
S Nadeem,53
SB Jakati,50
HV Patel,50
SN Thakur,50
A Kumble,49
S Gopal,49
KH Pandya,49
S Aravind,48
RJ Harris,47
JC Archer,47
YK Pathan,46
Iqbal Abdulla,45
NM Coulter-Nile,45
HH Pandya,45
DL Chahar,45
AJ Tye,45
VR Aaron,44
S Sreesanth,43
DE Bollinger,43
P Awana,43
Kuldeep Yadav,43
MC Henriques,42
R Sharma,42
PJ Sangwan,41
Mohammed Siraj,41
MS Gony,39
M Kartik,39
Yuvraj Singh,39
MA Starc,39
DP Nannes,38
P Negi,38
NLTC Perera,37
DT Christian,36
KK Cooper,36
DL Vettori,34
TG Southee,34
AB Agarkar,33
MF Maharoof,33
A Singh,31
WD Parnell,31
Azhar Mahmood,31
PJ Cummins,31
BA Stokes,31
RD Chahar,31
B Lee,30
SK Raina,30
Harmeet Singh,30
KK Ahmed,30
MP Stoinis,29
AD Mathews,28
STR Binny,28
PV Tambe,28
Mustafizur Rahman,28
DR Smith,27
J Botha,27
R Tewatia,27
SW Tait,26
CR Woakes,26
Washington Sundar,26
RE van der Merwe,25
GB Hogg,25
M Ashwin,25
CJ Jordan,25
SM Curran,25
Sohail Tanvir,24
AS Rajpoot,24
A Symonds,23
JP Duminy,23
BW Hilfenhaus,23
JO Holder,23
L Ngidi,23
A Nortje,23
WPUJC Vaas,22
VY Mahesh,22
Bipul Sharma,22
Anureet Singh,21
A Zampa,21
T Natarajan,21
Basil Thampi,21
MR Marsh,20
GJ Maxwell,20
R Dhawan,20
KW Richardson,20
BB Sran,20
M Prasidh Krishna,20
CRD Fernando,19
AD Mascarenhas,19
CH Gayle,19
A Ashish Reddy,19
IC Pandey,19
NA Saini,19
BJ Hodge,18
Mujeeb Ur Rahman,18
CV Varun,18
LR Shukla,17
D Wiese,17
ST Jayasuriya,16
VRV Singh,16
RG Sharma,16
AC Thomas,16
CR Brathwaite,16
M Markande,16
Shivam Mavi,16
RR Powar,15
YA Abdulla,15
SJ Srivastava,15
AN Ahmed,15
R Rampaul,15
JR Hopes,14
GD McGrath,14
Umar Gul,14
AB McDonald,14
R McLaren,14
DJG Sammy,14
CJ Anderson,14
Karanveer Singh,14
LH Ferguson,14
K Gowtham,14
MM Ali,14
S Lamichhane,14
Arshdeep Singh,14
Ravi Bishnoi,14
JDP Oram,13
Joginder Sharma,13
SM Pollock,13
Kamran Khan,13
RS Bopara,13
CK Langeveldt,13
BA Bhatt,13
SC Ganguly,12
AG Murtaza,12
Ankit Sharma,12
V Pratap Singh,12
BCJ Cutting,12
J Suchith,12
Pankaj Singh,11
JD Ryder,11
KP Appanna,11
J Theron,11
A Chandila,11
S Badree,11
BE Hendricks,11
Mohammad Nabi,11
JL Pattinson,11
DJ Hussey,10
T Thushara,10
J Syed Mohammad,10
Anand Rajan,10
MN Samuels,10
B Laughlin,10
KMA Paul,10
Kartik Tyagi,10
AM Nayar,9
SB Styris,9
Mohammad Asif,9
Shahid Afridi,9
BAW Mendis,9
KP Pietersen,9
SE Bond,9
JEC Franklin,9
P Parameswaran,9
SMSM Senanayake,9
TK Curran,9
IS Sodhi,9
M Ntini,8
A Mithun,8
S Randiv,8
AA Chavan,8
KC Cariappa,8
GC Viljoen,8
I Udana,8
P Amarnath,7
B Akhil,7
Y Venugopal Rao,7
RR Raje,7
AM Salvi,7
TL Suman,7
PC Valthaty,7
R Shukla,7
V Shankar,7
DJ Hooda,7
N Rana,7
B Stanlake,7
C de Grandhomme,7
HF Gurney,7
SB Bangar,6
V Sehwag,6
VS Malik,6
FH Edwards,6
S Tyagi,6
Jaskaran Singh,6
R Sathish,6
S Narwal,6
RV Gomez,6
JE Taylor,6
KMDN Kulasekara,6
M de Lange,6
J Yadav,6
S Kaushik,6
MJ Santner,6
AS Joseph,6
SS Cottrell,6
V Kohli,5
Shoaib Akhtar,5
TM Dilshan,5
Shoaib Ahmed,5
S Ladda,5
PD Collingwood,5
SB Wagh,5
AP Dole,5
L Ablish,5
Gurkeerat Singh,5
AF Milne,5
A Choudhary,5
TS Mills,5
Avesh Khan,5
S Dube,5
JP Behrendorff,5
O Thomas,5
KL Nagarkoti,5
WA Mota,4
DP Vijaykumar,4
D du Preez,4
Y Nagar,4
S Dhawan,4
Parvez Rasool,4
Shivam Sharma,4
DJ Muthuswami,4
Ankit Soni,4
LE Plunkett,4
Gagandeep Singh,3
DJ Thornely,3
SM Harwood,3
A Uniyal,3
JM Kemp,3
AL Menaria,3
RN ten Doeschate,3
R Ninan,3
JJ van der Wath,3
DAJ Bracewell,3
RJ Peterson,3
MJ Clarke,3
JDS Neesham,3
K Santokie,3
JW Hastings,3
P Sahu,3
T Shamsi,3
SM Boland,3
Sachin Baby,3
TM Head,3
K Khejroliya,3
KM Asif,3
Abhishek Sharma,3
TU Deshpande,3
B Geeves,2
Mohammad Hafeez,2
MA Khote,2
D Kalyankrishna,2
DNT Zoysa,2
SD Chitnis,2
Shoaib Malik,2
A Flintoff,2
C Nanda,2
ND Doshi,2
LJ Wright,2
P Suyal,2
KJ Abbott,2
MJ Henry,2
DJ Willey,2
JPR Scantlebury-Searles,2
SC Kuggeleijn,2
R Parag,2
S Sandeep Warrier,2
Shahbaz Ahmed,2
AA Noffke,1
SB Joshi,1
CL White,1
D Salunkhe,1
DB Ravi Teja,1
S Vidyut,1
PM Sarvesh Kumar,1
A Nel,1
T Henderson,1
MK Tiwary,1
GR Napier,1
LA Carseldine,1
SS Sarkar,1
AM Rahane,1
Mashrafe Mortaza,1
AA Jhunjhunwala,1
AC Voges,1
FY Fazal,1
AJ Finch,1
AA Kazi,1
SS Mundhe,1
TP Sudhindra,1
CJ McKay,1
GH Vihari,1
BMAJ Mendis,1
Harmeet Singh (2),1
AC Gilchrist,1
LMP Simmons,1
RG More,1
GS Sandhu,1
Swapnil Singh,1
SS Agarwal,1
NB Singh,1
DJM Short,1
SE Rutherford,1
Y Prithvi Raj,1
AS Roy,1
Abdul Samad,1
JR Hazlewood,1
K Goel,0
VS Yeligati,0
LPC Silva,0
CK Kapugedera,0
Abdur Razzak,0
LRPL Taylor,0
RR Bose,0
SR Tendulkar,0
AS Raut,0
RA Shaikh,0
RS Gavaskar,0
KAJ Roach,0
C Ganapathy,0
MB Parmar,0
S Sriram,0
AUK Pathan,0
M Manhas,0
NJ Rimmington,0
NL McCullum,0
I Malhotra,0
B Chipli,0
P Prasanth,0
Y Gnaneswara Rao,0
S Rana,0
RW Price,0
DJ Harris,0
F du Plessis,0
RR Bhatkal,0
SPD Smith,0
K Upadhyay,0
Sunny Gupta,0
BJ Rohrer,0
MG Neser,0
M Vijay,0
SA Yadav,0
SA Abbott,0
C Munro,0
KS Williamson,0
Tejas Baroka,0
RA Tripathi,0
MA Wood,0
A Dananjaya,0
MK Lomror,0
CJ Dala,0
Rasikh Salam,0
Mandeep Singh,0
P Ray Barman,0
S Midhun,0
LS Livingstone,0
SN Khan,0
Harpreet Brar,0
DR Sams,0
DA Warner,0
CJ Green,0
P Dubey,0
Monu Kumar,0
